CLUB_NM,CTPRVN_NM,SIGNGU_NM,ITEM_NM,AFLTION_GROUP_NM,ITEM_CL_NM,SEXDSTN_FLAG_NM,MBER_CO,FOND_DE
백곡클럽,충청북도,충청북도 진천군,그라운드골프,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,10,20210129
베니악스,인천광역시,인천광역시 부평구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,23,20200106
벧엘클럽,전라북도,전라북도 군산시,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,4,20210327
볼케이노,서울특별시,서울특별시 서대문구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,71,20200107
붉은노을,경상남도,경상남도 창원시 마산회원구,에어로빅힙합,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,2,20190910
블랙라벨,서울특별시,서울특별시 강남구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,6,20190705
블랙라벨,서울특별시,서울특별시 노원구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,30,20200102
블랙스완,충청남도,충청남도 태안군,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,10,20200609
블랙스톤,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,15,20211022
블랙이글,대구광역시,대구광역시 동구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,5,20200510
삼례클럽,전라북도,전라북도 완주군,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,11,20210305
삼호클럽,서울특별시,서울특별시 서초구,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,3,20201105
상산클럽,충청북도,충청북도 진천군,그라운드골프,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,27,20210129
상암클럽,서울특별시,서울특별시 마포구,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20201224
서울해태,서울특별시,서울특별시 관악구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20200104
서초클럽,서울특별시,서울특별시 서초구,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,5,20190516
서프린터,경기도,경기도 부천시 오정구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20201208
성남클럽,경기도,경기도 성남시,하키,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20190329
소금쟁이,충청북도,충청북도 충주시,조정,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,16,20190328
소녀시대,광주광역시,광주광역시 서구,에어로빅힙합,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,18,20201105
소화누리,광주광역시,광주광역시 남구,에어로빅힙합,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,20,20201106
송파구팀,서울특별시,서울특별시 전체,빙상,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20190510
수달상회,서울특별시,서울특별시 용산구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,12,20210223
수변클럽,울산광역시,울산광역시 남구,그라운드골프,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,18,20200115
수요클럽,경상북도,경상북도 영주시,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20201019
수지로얄,경기도,경기도 용인시 수지구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20211111
스나이퍼,강원도,강원도 동해시,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20200227
스볼년놈,서울특별시,서울특별시 동대문구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,4,20210630
스트로커,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,20,20211022
스파이럴,경기도,경기도 성남시,치어리딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,11,20200727
스펙트럼,서울특별시,서울특별시 동대문구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,20,20200624
스피리트,경상북도,경상북도 칠곡군,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,1,20200816
시흥우노,경기도,경기도 시흥시,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20190507
시흥하나,경기도,경기도 시흥시,스키,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20190517
신섭탁구,서울특별시,서울특별시 성북구,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20200816
쌍암클럽,광주광역시,광주광역시 광산구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20201117
아리디움,전라북도,전라북도 전주시 덕진구,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20210409
아리우프,부산광역시,부산광역시 서구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,9,20200205
아우토반,울산광역시,울산광역시 동구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,16,20200101
아우토반,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,16,20211005
아이갓츄,경기도,경기도 용인시,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,6,20211029
아이리스,서울특별시,서울특별시 강남구,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,6,20210615
아프로만,서울특별시,서울특별시 전체,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,5,20200724
안단티노,경기도,경기도 동두천시,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20210309
양평클럽,경기도,경기도 양평군,사격,공공스포츠클럽,20세이상부,혼성,5,20190508
어메이징,전라북도,전라북도 익산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,20,20200104
어반스윔,광주광역시,광주광역시 전체,수영,공공스포츠클럽,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210409
엄지클럽,대구광역시,대구광역시 수성구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20200429
엑스트라,대전광역시,대전광역시 전체,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20210113
엘리시온,경기도,경기도 파주시,치어리딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,13,20190626
엣지고수,경기도,경기도 하남시,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,1,20200715
연세샷건,강원도,강원도 원주시,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,3,20200128
열시두시,서울특별시,서울특별시 동대문구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,4,20190924
열혈청춘,전라남도,전라남도 장성군,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20211204
영동클럽,충청북도,충청북도 영동군,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210510
영암클럽,전라남도,전라남도 영암군,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20210113
영클레이,경상남도,경상남도 창원시,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20190610
오벤져스,서울특별시,서울특별시 전체,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,3,20190926
오션블루,광주광역시,광주광역시 남구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20211206
운무도관,서울특별시,서울특별시 구로구,검도,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,4,20210810
울산스타,울산광역시,울산광역시 북구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,23,20210621
울산포유,울산광역시,울산광역시 북구,역도,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210323
울산해적,울산광역시,울산광역시 전체,아이스하키,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,12,20210310
워킹데드,서울특별시,서울특별시 중랑구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,3,20210630
원클레이,대구광역시,대구광역시 수성구,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,4,20190320
월곡클럽,광주광역시,광주광역시 광산구,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20201104
유앤아이,서울특별시,서울특별시 서대문구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,32,20210623
유플러스,충청북도,충청북도 제천시,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,14,20210614
율검도관,인천광역시,인천광역시 서구,검도,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20200624
은성클럽,충청북도,충청북도 충주시,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,5,20201208
은파클럽,전라북도,전라북도 군산시,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20200706
음파음파,인천광역시,인천광역시 미추홀구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,7,20191015
이월클럽,충청북도,충청북도 진천군,그라운드골프,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,14,20210129
이지검도,충청남도,충청남도 천안시 서북구,검도,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20210105
이화요트,서울특별시,서울특별시 서대문구,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,2,20210509
이화클럽,서울특별시,서울특별시 은평구,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20200110
인천사랑,인천광역시,인천광역시 전체,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,3,20200306
인터하이,울산광역시,울산광역시 남구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,21,20190410
자원개발,충청북도,충청북도 제천시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20200103
자존자대,경기도,경기도 성남시,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20200816
장산클럽,부산광역시,부산광역시 해운대구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,21,20210322
전광석화,제주특별자치도,제주특별자치도 제주시,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,3,20190412
전라클럽,전라북도,전라북도 전주시,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20210405
제니우스,경기도,경기도 오산시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,19,20200116
제주샛별,제주특별자치도,제주특별자치도 제주시,게이트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,5,20211018
주부클럽,충청북도,충청북도 청주시,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,1,20201109
중화빌런,서울특별시,서울특별시 중랑구,스쿼시,공공스포츠클럽,20세이상부,혼성,1,20211109
지니어스,전라북도,전라북도 전주시 완산구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,30,20200102
지베스트,울산광역시,울산광역시 전체,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,12,20190412
진도군청,전라남도,전라남도 진도군,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,3,20210628
진진발리,서울특별시,서울특별시 성동구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,12,20210331
질수없죠,강원도,강원도 동해시,하키,공공스포츠클럽,20세이상부,혼성,9,20210827
첨벙첨벙,광주광역시,광주광역시 남구,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20210311
청우클럽,광주광역시,광주광역시 서구,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,2,20200617
청주무쌍,충청북도,충청북도 청주시,킥복싱,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,3,20210122
초탄명중,경기도,경기도 수원시 권선구,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,4,20190906
충북일반,충청북도,충청북도 전체,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,10,20190510
칠광클럽,대구광역시,대구광역시 달서구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,2,20190326
카이로스,인천광역시,인천광역시 남동구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,18,20200106
카이져스,전라북도,전라북도 전주시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,39,20200110
탑클레이,대구광역시,대구광역시 북구,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,16,20190316
태웅회관,강원도,강원도 원주시,킥복싱,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20201111
토네이도,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,10,20211022
팀공육사,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,10,20211104
팀마스터,제주특별자치도,제주특별자치도 제주시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,11,20210930
팀물고기,전라남도,전라남도 여수시,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20211207
팀스턴건,대전광역시,대전광역시 유성구,주짓수,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210805
팀엘리트,서울특별시,서울특별시 광진구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,19,20200103
팀클린치,경기도,경기도 평택시,레슬링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,7,20211012
팀피니쉬,대전광역시,대전광역시 중구,주짓수,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,7,20201103
파란날개,인천광역시,인천광역시 남동구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20191226
팔공크럽,대구광역시,대구광역시 수성구,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,5,20210521
페가수스,경기도,경기도 김포시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,20,20200108
포버도스,경기도,경기도 용인시 기흥구,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20200810
포천스톰,경기도,경기도 포천시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,33,20190522
포천연합,경기도,경기도 포천시,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20190705
플레이어,충청북도,충청북도 청주시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,50,20200102
피코다솜,울산광역시,울산광역시 남구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,31,20210618
하나마나,강원도,강원도 원주시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,48,20200102
하나클럽,광주광역시,광주광역시 북구,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,1,20200205
하남배구,경기도,경기도 하남시,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,10,20210614
하야오비,서울특별시,서울특별시 은평구,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,19,20200706
하이텐션,부산광역시,부산광역시 금정구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,17,20210619
하피이글,경기도,경기도 안양시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,26,20191219
하하호호,경기도,경기도 용인시,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20200712
한빛클럽,광주광역시,광주광역시 전체,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,2,20200211
한울클럽,강원도,강원도 횡성군,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,22,20201121
행복수영,경상남도,경상남도 김해시,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20210530
행복탁구,서울특별시,서울특별시 강동구,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20200812
현대아탁,경기도,경기도 군포시,탁구,공공스포츠클럽,20세이상부,혼성,2,20201007
형과아우,광주광역시,광주광역시 서구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,21,20201124
후레지아,경상북도,경상북도 영주시,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,2,20200911
흐즈므르,경상남도,경상남도 창원시,수영,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,12,20201120
힐스쿼시,서울특별시,서울특별시 동대문구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20210817
광양클럽,전라남도,전라남도 광양시,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,3,20200523
제우스팀,경상남도,경상남도 거제시,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20210911
포항클럽,경상북도,경상북도 포항시,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,8,20200212
플러스원,강원도,강원도 춘천시,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,3,20201118
준스포츠 팀,경상북도,경상북도 예천군,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,3,20200713
챔피언스 클럽,대구광역시,대구광역시 수성구,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,11,20190405
포세이돈 서초,서울특별시,서울특별시 서초구,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20201122
익스트림 킴스 합기도,강원도,강원도 양양군,합기도,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,24,20191211
존프랭클 시흥 주짓수,경기도,경기도 시흥시,주짓수,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,11,20200814
경상남도 씨름 동호인 (경남 씨름동호인),경상남도,경상남도 창원시,씨름,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20190325
동천백산 팀맥스,전라북도,전라북도 고창군,주짓수,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20210716
마이애미 농구팀,부산광역시,부산광역시 수영구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,21,20201118
전라남도 곡성군,전라남도,전라남도 곡성군,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,5,20200203
줄노리야 논현점,인천광역시,인천광역시 남동구,줄넘기,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,108,20200619
중앙클럽 배구단,충청북도,충청북도 충주시,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,4,20200808
한국외대 은파회,서울특별시,서울특별시 동대문구,조정,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,19,20191206
함께하면 근성장,경기도,경기도 군포시,보디빌딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20211107
드림점프 줄넘기,광주광역시,광주광역시 광산구,줄넘기,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,8,20200615
레인보우 줄넘기 동탄,경기도,경기도 화성시,줄넘기,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,23,20211016
리스펙트 주짓수 신정,서울특별시,서울특별시 양천구,주짓수,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20200813
하늘아래 인라인 클럽,충청북도,충청북도 제천시,롤러,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20211029
경상남도 볼링협회,경상남도,경상남도 양산시,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20190402
구영웰빙 탁구클럽,울산광역시,울산광역시 울주군,탁구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20200810
김제하키 혼성클럽,전라북도,전라북도 김제시,하키,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,3,20210630
매리너스 요트클럽,강원도,강원도 전체,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20200707
매트블랙 세일링팀,부산광역시,부산광역시 해운대구,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,2,20211106
미추홀구 산악연맹,인천광역시,인천광역시 미추홀구,산악,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,2,20191119
바이러스 볼링클럽,경상남도,경상남도 남해군,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20210721
빅토리아 치어리딩,경기도,경기도 용인시 처인구,치어리딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,7,20211108
오합지존 배구클럽,경기도,경기도 용인시,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210628
전라북도 사격연맹,전라북도,전라북도 전체,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,3,20190609
줄노리야 송도본점,인천광역시,인천광역시 연수구,줄넘기,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,180,20200622
카네이션 배구클럽,경상북도,경상북도 김천시,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,19,20210914
폴라리스 요트클럽,경상남도,경상남도 사천시,요트,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,9,20210909
플랜에이 피트니스,인천광역시,인천광역시 부평구,보디빌딩,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,3,20210607
본주짓수 아카데미 배곧,경기도,경기도 시흥시,주짓수,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,7,20200814
그레이시 얼리전스 코리아&리스펙트주짓수,경기도,경기도 광명시,주짓수,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,3,20200814
대한항공 서포터즈 배구클럽,인천광역시,인천광역시 남동구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,15,20211104
서울교대 남자배구부,서울특별시,서울특별시 서초구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,12,20210623
서울교대 여자배구부,서울특별시,서울특별시 서초구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",여성,15,20210623
존프랭클 코어주짓수,서울특별시,서울특별시 강북구,주짓수,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20200813
중외공원 테니스클럽,광주광역시,광주광역시 북구,테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,6,20210815
점프스타 줄넘기클럽 목감,경기도,경기도 시흥시,줄넘기,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35,20210311
점프스타 줄넘기클럽 수원망포,경기도,경기도 수원시 영통구,줄넘기,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,29,20210312
존프랭클 퀸오브주짓수,서울특별시,서울특별시 광진구,주짓수,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,4,20200813
하늘내린 정무합기스쿨,강원도,강원도 인제군,합기도,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,9,20191212
구체육회 광주동구주짓수협회,광주광역시,광주광역시 동구,주짓수,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,16,20201113
드림점프(국기),전라남도,전라남도 화순군,줄넘기,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,9,20210312
레인보우(수원탑동점),경기도,경기도 수원시 권선구,줄넘기,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,39,20210311
자이언트(만수북중학교),인천광역시,인천광역시 남동구,배구,학교스포츠클럽,16세이하부,남성,7,20211103
♥리버스♥,대구광역시,대구광역시 달성군,볼링,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,2,20210324
가천대학교,경기도,경기도 성남시,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20210426
강성체육관,충청남도,충청남도 천안시,킥복싱,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20210415
강인검도관,인천광역시,인천광역시 서구,검도,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,20,20200623
강호검도관,서울특별시,서울특별시 강남구,검도,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,3,20201125
검암검도관,인천광역시,인천광역시 서구,검도,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,8,20200624
경기사격회,경기도,경기도 화성시,사격,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,14,20190618
경산연정회,경상북도,경상북도 경산시,소프트테니스,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,21,20200129
고려대학교,서울특별시,서울특별시 성북구,조정,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,24,20191206
고려대학교,서울특별시,서울특별시 동대문구,조정,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,1,20191206
관악검도관,서울특별시,서울특별시 관악구,검도,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,7,20200224
광주마린스,광주광역시,광주광역시 북구,야구소프트볼,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20200420
광주빛고을,광주광역시,광주광역시 광산구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,17,20201116
광주아레스,광주광역시,광주광역시 서구,농구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20211028
광주이글스,광주광역시,광주광역시 광산구,배구,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,8,20201117
광혜원클럽,충청북도,충청북도 진천군,그라운드골프,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",혼성,35,20210129
광화문시대,서울특별시,서울특별시 종로구,스쿼시,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20190926
국심검도관,서울특별시,서울특별시 동작구,검도,체육동호인조직,"13세이하부,16세이하부,19세이하부,20세이상부",남성,1,20190405
